# Dictionary file - Format: word|meaning1;meaning2;meaning3
# Generated by Advanced Dictionary System

distinct|recognizably different;separate;clear;definite;unique
distinguish|recognize as different;manage to see;treat differently;differentiate
distribute|give shares of;supply;spread out;deal out;dispense
distribution|action of distributing;way things are spread;supply;allocation
district|area of country or city;region;territory;precinct
divide|separate into parts;disagree;find how many times;split;share
division|process of dividing;disagreement;major unit;separation;section
divorce|legal dissolution of marriage;separate;separation;split
do|perform an action;achieve;act;be suitable;execute
doctor|person qualified to practice medicine;person with doctorate;physician
document|piece of written matter;record;prove by document;paper
dog|domesticated carnivorous mammal;person;hold on to;follow closely
dollar|monetary unit;currency;buck
domestic|relating to home;of one's own country;tame;not foreign
dominate|have commanding influence;be most important;control;govern
door|hinged barrier at entrance;doorway;way of access;portal
dot|small round mark;point;place dots over;speck
double|twice as much;having two parts;person who looks like another;duplicate
doubt|feeling of uncertainty;question truth of;uncertainty;skepticism
down|toward lower place;to or in a lower position;soft feathers;sad
draft|preliminary version;written order for money;current of air;conscript
drag|pull along forcefully;move slowly;boring thing;haul
drama|play for theater;exciting event;art of theater;theatrics
draw|produce picture;pull;attract;take out;sketch
drawing|picture made with pencil;art of making pictures;sketch;illustration
dream|series of thoughts in sleep;ambition;imagine;fantasy;vision
dress|put on clothes;item of clothing;attire;formal clothes;garment
drink|take liquid into mouth;consume alcohol;beverage;swallow
drive|operate vehicle;carry in vehicle;urge;journey;motivation
driver|person who drives;golf club;piece of software;operator
drop|let fall;small round mass of liquid;fall;decline;decrease
drug|medicine;illegal substance;administer drug to;narcotic
dry|free from moisture;not interesting;prohibit alcohol;make dry;arid
due|expected at certain time;owed;proper;fee;payable
during|throughout the course of;in the time of;through
dust|fine powder;sweep;fine particles;sprinkle with powder;dirt
duty|moral or legal obligation;task;tax;responsibility;charge
each|every one of two or more;separately;apiece
eager|strongly wanting to do;keen;enthusiastic;impatient
ear|organ of hearing;attention;part of cereal plant with grain;faculty
early|happening before usual time;near beginning of period;soon;premature
earn|obtain money for labor;gain as deserved;merit;deserve
earth|the planet we live on;ground;soil;land;dirt
ease|absence of difficulty;freedom from pain;make less severe;comfort
easily|without difficulty;without a doubt;by far;readily
east|direction where sun rises;eastern part of world;to the east
easy|achieved without effort;free from worry;not difficult;simple
eat|put food into mouth;have a meal;consume;devour
economic|relating to economics or the economy;profitable;financial
economics|science of production and distribution of wealth;financial aspects
economy|state of a country's wealth;careful management of resources;thrift
edge|outside limit;cutting side of blade;sharpness;brink;border
edit|prepare for publication;cut out parts of a film;be editor of;revise
edition|particular form of publication;total number of copies;version
editor|person in charge of newspaper;person who edits;reviser
educate|give intellectual instruction;provide with information;train;teach
education|process of receiving or giving instruction;field of study;schooling
effect|change which is a result;impression;bring about;consequence
effective|successful in producing desired result;impressive;potent
efficient|working productively;achieving maximum productivity;competent
effort|physical or mental exertion;determined attempt;endeavor;struggle
egg|oval body laid by female birds;female reproductive cell;incite
eight|number equivalent to sum of seven and one;8;cardinal number
either|one or the other of two;one and the other;as well;each of two
elbow|joint between forearm and upper arm;push with elbow;bend
elder|of a greater age;older person;senior;ancestor
elect|choose by voting;choose to do something;chosen but not installed;select
election|formal process of electing;act of electing;vote;poll
electric|of, worked by, or producing electricity;charged;tense
electricity|form of energy from charged particles;supply of electric current;power
electronic|relating to electrons or electronics;carried out using computer;digital
element|essential part;substance not separable into simpler substances;component
elephant|large mammal with trunk and tusks;pachyderm
else|in addition;different;otherwise;besides
elsewhere|in, at, or to some other place;somewhere else
email|system for sending electronic messages;a message;send a message
embarrass|cause to feel awkward or ashamed;shame;humiliate
emerge|move out of or away from something;become apparent;appear;arise
emergency|serious, unexpected situation requiring immediate action;crisis
emotion|strong feeling;instinctive feeling as distinguished from reasoning;passion
emotional|relating to emotions;arousing emotion;sentimental;passionate
emphasis|special importance or value;stress on word or phrase;prominence
emphasize|give special importance to;lay stress on;highlight;underline
empire|extensive group of states ruled over by single authority;domain
employ|give work to;make use of;hire;utilize
employee|person employed for wages;worker;staff member
employer|person or organization that employs people;boss;company
employment|state of having paid work;a person's work;occupation;job
empty|containing nothing;not occupied;without purpose;make empty;vacant
enable|give authority or means to do;make possible;allow;permit
encounter|unexpectedly experience;meet;a meeting;confrontation
encourage|give support or hope to;persuade;stimulate;motivate
end|final part;bring to a conclusion;purpose;finish;termination
enemy|person actively opposed;hostile nation;foe;adversary
energy|strength to do sustained activity;power from physical sources;vitality
engage|occupy or attract someone's interest;participate;employ;involve
engine|machine with moving parts that converts power into motion;motor
engineer|person who designs or builds engines, machines, or structures;plan
engineering|branch of science concerned with design and building;construction
english|relating to England;the language of England;people of England
enhance|intensify, increase, or further improve the quality of;augment
enjoy|take delight in;have for one's benefit;relish;appreciate
enormous|very large in size, quantity, or extent;huge;massive;immense
enough|as much or as many as required;sufficient;adequate
ensure|make certain that something will occur;secure;guarantee
enter|go or come into;begin to be involved in;register;join
enterprise|a business or company;a project;initiative;venture
entertainment|action of providing or being provided with amusement;show
entire|with no part left out;whole;complete;total
entirely|completely;wholly;absolutely;fully
entrance|an opening for entering;act of entering;right of admission;doorway
entry|act of entering;item written in a list;a submission;record
environment|surroundings or conditions in which a person, animal, or plant lives;habitat
environmental|relating to the natural world and the impact of human activity;ecological
equal|being the same in quantity, size, degree, or value;a person or thing that is the same;identical
equally|in the same manner or to the same extent;uniformly;fairly
equipment|necessary items for a particular purpose;gear;apparatus;tools
equivalent|equal in value, amount, function, or meaning;comparable
era|long and distinct period of history;age;epoch;period
error|a mistake;the state of being wrong;flaw;fault
escape|break free from confinement;avoid a danger;act of escaping;flee
especially|to a great extent;very much;for a particular purpose;particularly
essay|a short piece of writing on a particular subject;composition;article
essential|absolutely necessary;extremely important;fundamental;vital
establish|set up on a firm or permanent basis;show to be true;found;create
estate|an area of land with a large house;property and possessions;land
estimate|roughly calculate or judge the value;a judgment of worth;appraisal
etc|and other similar things;and so on;and so forth
evaluate|form an idea of the amount or value of;assess;judge;appraise
even|flat and smooth;equal in number or amount;despite;used for emphasis;level
evening|the period of time at the end of the day;dusk;twilight
event|a thing that happens, especially one of importance;a planned occasion;incident
eventually|in the end, especially after a long delay;ultimately;finally
ever|at any time;at all times;continuously;always
every|used to refer to all the individual members of a set;each single
everybody|every person;everyone
everyday|happening or used on an ordinary day;daily;commonplace;routine
everyone|every person;everybody
everything|all things;all the things of a group;all
everywhere|in or to all places;all over
evidence|the available facts indicating whether a belief is true;signs;proof
evil|profoundly immoral and wicked;a wicked thing;malicious;sin
exact|not approximate;precise;correct in all details;accurate
exactly|in exact terms;without vagueness;used to agree;precisely
exaggerate|represent as being larger or better than it really is;overstate
exam|a formal test of knowledge;a medical examination;test;examination
examine|inspect in detail;test the knowledge of;scrutinize;investigate
example|a thing characteristic of its kind;a pattern to be imitated;instance
excellent|extremely good;outstanding;superb;first-rate
except|not including;other than;but;excluding
exception|a person or thing that is excluded;a case where a rule does not apply;anomaly
exchange|an act of giving one thing and receiving another;give and receive;trade
excite|cause strong feelings of enthusiasm and eagerness;arouse;thrill
exciting|causing great enthusiasm and eagerness;thrilling;stimulating
excuse|seek to lessen the blame;release from a duty;a reason to justify a fault;pardon
executive|having the power to put plans into effect;a senior manager;administrator
exercise|activity requiring physical effort;a task set to practice a skill;use;workout
exhaust|make someone very tired;use up completely;waste gases;deplete
exhibit|publicly display;manifest a quality;an item on display;show
exhibition|a public display of works of art or other items;show;display
exist|have objective reality;live, especially in difficult conditions;be
existence|the fact or state of living or having objective reality;being
exit|a way out;the action of leaving;leave a place;departure
expand|become or make larger or more extensive;enlarge;increase
expect|regard as likely to happen;require as a duty;anticipate
expectation|a strong belief that something will happen;anticipation;hope
expense|the cost required for something;the money spent;outlay;cost
expensive|costing a lot of money;pricey;costly;high-priced
experience|practical contact with and observation of facts;an event which leaves an impression;undergo
experiment|a scientific procedure to make a discovery;try out new ideas;test
expert|a person who is very knowledgeable in a particular area;specialist
explain|make clear by describing in more detail;give a reason for;clarify
explanation|a statement that makes something clear;a reason;clarification
explode|burst with a loud noise;increase suddenly;show violent emotion;detonate
explore|travel through an area to learn about it;inquire into;investigate
explosion|a violent bursting;a sudden outbreak;blast;detonation
export|send goods to another country for sale;the act of exporting;sell abroad
expose|make visible by uncovering;reveal the true nature of;subject to;uncover
express|convey a thought or feeling;squeeze out;operating at high speed;state
expression|the process of making known one's thoughts;a look on someone's face;a word or phrase
extend|make larger in area;cause to last longer;hold out;prolong
extension|a part that is added to something to enlarge it;an extra period of time;addition
extensive|covering a large area;large in amount;broad;wide-ranging
extent|the area covered by something;the degree to which something is the case;scope
external|belonging to the outside;coming from an outside source;outer
extra|added to an existing amount;more than is usual;additional;surplus
extraordinary|very unusual or remarkable;exceptional;amazing
extreme|reaching a high degree;furthest from the center;not moderate;utmost
extremely|to a very great degree;very;exceedingly;highly
eye|the organ of sight;a particular viewpoint;look at closely;observe
fabric|cloth produced by weaving or knitting;underlying structure;framework
face|front part of head;surface of a thing;expression;confront;meet
facility|place for a particular purpose;ease of action;skill;amenity
fact|thing known to be true;reality;information used as evidence;truth
factor|circumstance contributing to a result;a number that divides another;element
factory|building for manufacturing goods;plant;workshop;mill
fail|be unsuccessful;neglect to do;cease to function;break down
failure|lack of success;an unsuccessful person or thing;breakdown;neglect
fair|just;light-colored;of moderate quality;an event with stalls;beautiful
fairly|with justice;to a moderate degree;quite;reasonably
faith|complete trust;strong belief in a religion;confidence;loyalty
fall|move downwards rapidly;decrease;the season of autumn;drop;collapse
false|not according to fact;artificial;deceitful;untrue;incorrect
familiar|well known;having a good knowledge of;common;acquainted
family|group of parents and children;all descendants of a common ancestor;relatives
famous|known about by many people;renowned;celebrated;well-known
fan|device for creating a current of air;an admirer;supporter;ventilator
fancy|feel a desire for;elaborate in structure;imagination;whim;desire
fantastic|extraordinarily good;imaginative;wonderful;incredible
far|at a great distance;a long way;distant;remote
farm|area of land for agriculture;breed animals;cultivate land;ranch
farmer|person who owns or manages a farm;agriculturist;grower
fashion|a popular style;a manner of doing something;trend;vogue
fast|moving at high speed;firmly fixed;a period of not eating;quick;rapid
fat|natural oily substance;having a great deal of flesh;grease;plump
fate|development of events beyond a person's control;destiny;fortune
father|male parent;a founder;a priest;dad;sire
fault|an unattractive quality;responsibility for an error;a crack in the earth;defect
favor|approval;an act of kindness;support;goodwill;preference
favorite|preferred to all others;most liked;choice;pet
fear|unpleasant emotion caused by threat;be afraid of;dread;terror;anxiety
feature|a distinctive attribute;a part of the face;a prominent article;characteristic
federal|relating to a system of government with central and state units;national
fee|a payment for advice or services;charge;price;cost
feed|give food to;supply with material;food for animals;nourish
feel|experience an emotion or sensation;touch;sense;perceive
feeling|an emotional state;a belief or idea;sensation;emotion;opinion
fellow|a man or boy;a member of a learned society;associate;comrade
female|of the sex that can bear offspring;a female person or animal;woman;girl
fence|a barrier enclosing an area;deal in stolen goods;enclosure;hedge
festival|a day of celebration;an organized series of events;carnival;fiesta
fever|an abnormally high body temperature;a state of nervous excitement;illness
few|a small number of;not many;some;scant
fiber|a thread-like substance;dietary material resistant to digestion;strand
fiction|literature describing imaginary events;a belief that is not true;story
field|an area of open land;a particular branch of study;a sports ground;meadow
fifteen|the number equivalent to the sum of ten and five;15
fifth|constituting number five in a sequence;ordinal of five
fifty|the number equivalent to the product of ten and five;50
fight|take part in a violent struggle;a struggle or quarrel;battle;combat
figure|a number;the shape of a human body;an important person;a diagram;form
file|a folder for keeping papers;a collection of data;a tool for smoothing;document
fill|cause to become full;occupy a position;stock;pack
film|a thin layer;a story recorded as moving pictures;make a film;movie
final|coming at the end of a series;a deciding match or exam;last;ultimate
finally|after a long time;as the last point;eventually;at last
finance|the management of large amounts of money;provide funding for;economics
financial|relating to finance;monetary;economic;pecuniary
find|discover by chance or searching;a discovery;locate;uncover
fine|of high quality;thin;a sum of money as a penalty;satisfactory;excellent
finger|each of the five digits of the hand;touch with the fingers;digit
finish|bring to an end;the end of something;complete;conclude
fire|combustion producing heat and light;shoot a gun;dismiss from a job;flame
firm|having a solid surface;strongly felt;a business;company;solid
first|coming before all others;the beginning;initial;primary
fish|a limbless cold-blooded vertebrate with gills and fins;catch fish
fit|of a suitable quality;in good health;be the right shape;suitable;healthy
five|the number equivalent to the sum of four and one;5
fix|fasten securely;repair;decide on;mend;settle
flag|a piece of cloth as a symbol of a country;mark for attention;banner
flame|a hot glowing body of ignited gas;blaze;fire
flash|a sudden bright light;a brief moment;display ostentatiously;gleam
flat|having an even surface;uninteresting;a set of rooms on one floor;level
flavor|the distinctive taste of a food or drink;an indication of character;savor
flee|run away from a place of danger;escape;abscond
flesh|the soft substance of a body;the edible part of an animal;meat
flight|the action of flying;a journey made by air;aviation;trip
float|rest on the surface of a liquid;move in a leisurely way;drift
floor|the lower surface of a room;a level of a building;ground;story
flour|a powder obtained by grinding grain;meal;dust
flow|move along steadily;a steady, continuous stream;current;stream
flower|the seed-bearing part of a plant;the best part of something;blossom
fly|move through the air;a winged insect;soar;pilot
focus|the center of interest;adapt to the prevailing level of light;concentrate
fold|bend something over on itself;a pen for sheep;crease;pleat
follow|go after;act according to an instruction;succeed;obey
following|coming after;the next;subsequent;succeeding
food|any nutritious substance that people or animals eat or drink;nourishment
foot|the part of the leg below the ankle;a unit of length;base
football|a game played with a ball by two teams;a ball used in the game;soccer
for|in support of;affecting;on behalf of;because of
force|strength as an attribute of action;coercion;a group of people;compel
foreign|of a country other than one's own;unfamiliar;alien;overseas
forest|a large area covered with trees;woods;woodland
forever|for all future time;continually;always;eternally
forget|fail to remember;overlook;neglect
forgive|stop feeling angry towards someone for an offense;pardon;excuse
fork|a utensil with prongs;a point where something divides;branch
form|the visible shape of something;a type or variety;a document;create
formal|done in accordance with convention;officially sanctioned;ceremonial
former|having previously been;the first of two things mentioned;previous
formula|a mathematical relationship;a list of ingredients;rule;recipe
forth|outwards;forwards;away;onward
fortune|chance;a large amount of money;luck;wealth;destiny
forward|in the direction that one is facing;onward;ahead
found|establish or originate;based on;create;start
foundation|the lowest part of a building;an underlying principle;base
four|the number equivalent to the sum of three and one;4
frame|a rigid structure that surrounds something;a single picture in a film;formulate
framework|an essential supporting structure;skeleton;structure;chassis
free|not under the control of another;available without charge;release;liberate
freedom|the power to act as one wants;the state of not being imprisoned;liberty
freeze|turn into ice;become rigid with cold or fear;chill;solidify
french|relating to France or its people or language
frequency|the rate at which something occurs;the rate of vibration of a wave;rate
frequent|occurring often;common;regular;repeated
frequently|often;regularly;repeatedly;habitually
fresh|recently made or obtained;not preserved;new or different;new
friend|a person one knows and likes;companion;comrade;ally
friendly|kind and pleasant;amiable;cordial;neighborly
friendship|the state of being friends;companionship;amity
from|indicating the starting point or source;out of
front|the most forward part;the side that is presented to view;face
fruit|the sweet, fleshy product of a tree or plant that contains seed;produce
frustration|the feeling of being upset as a result of being unable to achieve something;disappointment
fuel|material that is burned to produce heat or power;energy source;combustible
full|containing as much as possible;complete;filled;total
fully|completely;entirely;thoroughly;wholly
fun|enjoyment;amusement;pleasure;entertainment
function|an activity that is natural to a person or thing;a large social gathering;work
fund|a sum of money saved for a particular purpose;provide with money;capital
fundamental|forming a necessary base;of central importance;basic;essential
funeral|a ceremony for a dead person;burial service;interment
funny|causing laughter;strange;comical;humorous;amusing;odd
fur|the short, fine hair of certain animals;pelt;coat
furniture|large movable objects in a room;furnishings;possessions
further|at or to a greater distance or extent;more;additional;promote
future|the time after the present;events that will happen;prospects;what is to come
gain|obtain or secure;increase in amount;an increase in wealth;profit
galaxy|system of millions of stars;a large group of impressive people;constellation
gallery|room for displaying art;a long room;upper floor in a theater;veranda
game|activity for amusement;a period of play;wild animals hunted for sport;contest
gang|an organized group of criminals;a group of friends;crew;band
gap|a break or hole;a space;a difference;hiatus;opening
garage|building for keeping a vehicle;a place for vehicle repairs;carport
garden|a piece of ground for growing flowers or vegetables;cultivate;yard
gas|an air-like fluid substance;fuel for vehicles;talk idly;petrol
gate|a hinged barrier used to close an opening in a wall or fence;doorway
gather|come together;collect;understand;assemble;congregate
gaze|look steadily and intently;stare;ogle
gear|a set of toothed wheels;equipment for a particular activity;machinery
gender|the state of being male or female;sex
gene|a unit of heredity which is transferred from a parent to offspring
general|affecting all or most people or things;not detailed;a high-ranking army officer;common
generally|in most cases;usually;on the whole;typically
generate|cause to arise or come about;produce;create;make
generation|all of the people born and living at about the same time;the production of something;era
generous|showing a readiness to give more than is expected;larger than usual;magnanimous
genius|exceptional intellectual or creative power;a very clever person;prodigy
gentle|having a mild character;not severe;moderate;kind;tender
gentleman|a chivalrous, courteous, or honorable man;a man of good social position
genuine|truly what something is said to be;authentic;sincere;real
gesture|a movement of part of the body to express an idea;an action performed to convey a feeling;signal
get|come to have or hold;receive;achieve;become;obtain
ghost|an apparition of a dead person;specter;spirit;phantom
giant|an imaginary being of superhuman size;a very large person or thing;huge
gift|a thing given willingly without payment;a natural ability;present;talent
girl|a female child or young woman;lass;maiden
give|freely transfer the possession of;cause to have;perform;provide;donate
glad|pleased;happy;causing happiness;delighted;joyful
glance|take a brief or hurried look;peek;glimpse
glass|a hard, brittle, transparent substance;a container made of glass;tumbler
global|relating to the whole world;worldwide;international;universal
glove|a covering for the hand with separate parts for each finger;mitten
go|move from one place to another;depart;attend;proceed
goal|the object of a person's ambition;the structure into which players score;aim
god|a superhuman being or spirit worshiped as having power over nature and human fortunes;deity
gold|a yellow precious metal;a bright yellow color;wealth
golden|made of or colored like gold;excellent;precious
golf|a game played on a large open-air course with clubs and a small hard ball
good|to be desired or approved of;having the required qualities;morally right;excellent
gossip|casual conversation about other people;a person who likes talking about others;rumor
govern|conduct the policy and affairs of a state;control or influence;rule
government|the group of people with the authority to govern a country;administration
governor|the elected executive head of a state;an official in charge;ruler
grab|seize suddenly and roughly;snatch;grasp
grade|a particular level of quality or rank;a mark indicating the quality of a student's work;classify
gradual|taking place in stages over an extended period;slow;steady
gradually|slowly;by degrees;progressively;steadily
graduate|a person who has successfully completed a course of study;complete a degree
grain|wheat or other cultivated cereal;a single seed of a cereal;a small hard particle;kernel
grand|magnificent and imposing;very good;denoting the parent of one's parent;splendid
grandfather|the father of one's father or mother;grandpa
grandmother|the mother of one's father or mother;grandma
grant|agree to give or allow;a sum of money given by a government;bestow
grass|vegetation consisting of short plants with long, narrow leaves;lawn
grateful|feeling or showing an appreciation of kindness;thankful;appreciative
grave|a place of burial for a dead body;serious or solemn;tomb;somber
great|of an extent, amount, or intensity considerably above the average;very good;large
green|the color between blue and yellow;concerned with the protection of the environment;unripe
greet|give a polite word or sign of welcome;welcome;salute
grey|a color intermediate between black and white;dull and overcast;gray
grind|reduce to small particles by crushing;rub or grate;crush;pulverize
grip|take and keep a firm hold of;a firm hold;grasp;clutch
grocery|a shop selling food and household supplies;food store
ground|the solid surface of the earth;an area of land or sea for a particular purpose;base a theory on;earth
group|a number of people or things that are located together or are classed together;cluster
grow|undergo natural development by increasing in size;become larger;develop
growth|the process of increasing in size;something that has grown;development
guarantee|a formal promise that certain conditions will be fulfilled;provide a guarantee for;warranty
guard|watch over in order to protect or control;a person who keeps watch;protect
guess|estimate or suppose without sufficient information;conjecture;surmise
guest|a person who is invited to visit or stay in someone's home;visitor
guide|show the way to;a person who advises or shows the way;lead;direct
guilty|responsible for a specified wrongdoing;culpable;at fault
gun|a weapon from which projectiles are fired;firearm;revolver
guy|a man;a fellow;chap;dude
habit|a settled or regular tendency or practice;custom;routine;addiction
hair|fine threadlike strands growing from the skin;a very small amount or margin
half|either of two equal parts into which something is or can be divided;partially
hall|the room or space just inside the front entrance of a house or building;corridor
hand|the end part of a person's arm beyond the wrist;give something to someone
handle|a part of something designed to be held or operated by the hand;deal with;manage
hang|suspend or be suspended from above;execute by suspending by the neck
happen|take place;occur;find or come across by chance
happy|feeling or showing pleasure or contentment;fortunate;pleased
hard|solid, firm, and rigid;difficult to do or understand;requiring a great deal of effort
hardly|scarcely;almost not;only just;barely
harm|physical injury;material damage;hurt;injure
hat|a shaped covering for the head;a particular role
hate|feel intense dislike for;an intense dislike;loathe;detest
have|possess, own, or hold;experience;be obliged to
he|used to refer to a man, boy, or male animal previously mentioned
head|the upper part of the human body;a person in charge;leader;top
headline|a heading at the top of an article or page in a newspaper or magazine
headquarters|the main offices of an organization;command center;base
health|the state of being free from illness or injury;a person's mental or physical condition
healthy|in good health;promoting good health;fit;well
hear|perceive with the ear the sound made by someone or something;be told
hearing|the faculty of perceiving sounds;an opportunity to state one's case
heart|a hollow muscular organ that pumps the blood;the central or innermost part of something;core
heat|the quality of being hot;high temperature;make or become hot;warmth
heaven|the abode of God and the angels;a place of great happiness;paradise
heavy|of great weight;difficult to lift or move;of great density
heel|the back part of the foot below the ankle
height|the measurement from base to top;the quality of being tall;altitude;elevation
helicopter|a type of aircraft with rotating blades that allow it to lift off and land vertically
hell|a place of evil and suffering in some religions;a state of great suffering
hello|used as a greeting or to begin a phone conversation;hi
help|make it easier for someone to do something;assistance;aid;support
helpful|giving or ready to give help;useful;beneficial
her|used as the object of a verb or preposition to refer to a female previously mentioned
here|in, at, or to this place or position;used to attract someone's attention
hero|a person who is admired for their courage or outstanding achievements;protagonist
hers|used to refer to a thing or things belonging to or associated with a female
herself|used as the object of a verb or preposition to refer to a female who is the subject of the clause
hesitate|pause before saying or doing something;be reluctant to do something;waver
hide|put or keep out of sight;conceal from view;the skin of an animal
high|of great vertical extent;far above the ground;great in amount or value
highlight|an outstanding part of an event or period of time;draw special attention to;emphasize
highly|to a high degree or level;very;extremely;in a high position
highway|a main road connecting towns or cities;freeway;motorway
hill|a naturally raised area of land, not as high or craggy as a mountain
him|used as the object of a verb or preposition to refer to a male previously mentioned
himself|used as the object of a verb or preposition to refer to a male who is the subject of the clause
hip|a projection of the pelvis and upper thigh bone on each side of the body;fashionably current
hire|obtain the temporary use of something for an agreed payment;employ someone for wages
his|belonging to or associated with a male person or animal previously mentioned
historian|an expert in or student of history, especially a writer of history
historical|of or concerning history or past events;belonging to the past
history|the study of past events;the whole series of past events connected with someone or something
hit|bring one's hand or a tool or weapon into contact with someone or something quickly and forcefully;a success
hold|grasp, carry, or support with one's arms or hands;keep or detain;contain
hole|a hollow place in a solid body or surface;an opening;a gap
holiday|an extended period of leisure and recreation;a day of festivity or recreation;vacation
holy|dedicated to God or a religious purpose;sacred;divine
home|the place where one lives permanently;a house or apartment
honest|free of deceit;truthful and sincere;upright;honorable
honor|high respect;great esteem;the quality of knowing and doing what is morally right
hook|a piece of metal curved back at an angle, for catching hold of things;catch with a hook
hope|a feeling of expectation and desire for a certain thing to happen;wish;expect
horizon|the line at which the earth's surface and the sky appear to meet
horror|an intense feeling of fear, shock, or disgust;terror;dread
horse|a large plant-eating domesticated mammal with solid hoofs and a flowing mane and tail
hospital|an institution providing medical and surgical treatment and nursing care for sick or injured people
host|a person who receives or entertains other people as guests;an animal or plant on which a parasite lives
hot|having a high degree of heat or a high temperature;spicy;popular
hotel|an establishment providing accommodation, meals, and other services for travelers and tourists
hour|a period of time equal to sixty minutes;a particular point in time
house|a building for human habitation;a legislative assembly;provide with shelter
household|a house and its occupants regarded as a unit;relating to a house
housing|houses and apartments considered collectively;shelter;accommodation
how|in what way or manner;by what means;to what extent
however|used to introduce a statement that contrasts with something that has just been said;nevertheless
huge|extremely large;enormous;vast;massive
human|relating to or characteristic of people or human beings;a person
humor|the quality of being amusing or comic;a mood or state of mind;comedy;wit
hundred|the number equivalent to the product of ten and ten;100
hungry|feeling or displaying the need for food;having a strong desire
hunt|pursue and kill a wild animal for sport or food;search for something
hurry|move or act with great speed;rush;hasten
hurt|cause physical pain or injury to;feel pain;harm;damage
husband|a married man in relation to his spouse;conserve resources
i|the ninth letter of the alphabet;the pronoun used by a speaker to refer to themself
ice|frozen water;a frozen dessert;cover with icing
icon|a person or thing regarded as a representative symbol;a small graphical representation on a computer screen
idea|a thought or suggestion as to a possible course of action;a concept;a belief
ideal|satisfying one's conception of what is perfect;most suitable;a standard of perfection
identify|establish or indicate who or what someone or something is;recognize;associate with
identity|the fact of being who or what a person or thing is;individuality;personality
if|introducing a conditional clause;on the condition that;whether
ignore|refuse to take notice of or acknowledge;disregard intentionally;snub
ill|not in full health;sick;bad or harmful
illegal|contrary to or forbidden by law;unlawful;illicit
illness|a disease or period of sickness affecting the body or mind;sickness;ailment
illustrate|provide with pictures;serve as an example of;explain
image|a representation of the external form of a person or thing;a mental picture;public perception
imagination|the faculty of forming new ideas or images not present to the senses;creativity
imagine|form a mental image or concept of;suppose or assume;believe
immediate|occurring or done at once;instant;nearest in time, space, or relationship
immediately|at once;instantly;without delay
immigrant|a person who comes to live permanently in a foreign country
impact|the action of one object coming forcibly into contact with another;a marked effect or influence
implement|put a decision or plan into effect;a tool, utensil, or other piece of equipment
imply|strongly suggest the truth or existence of something not expressly stated;insinuate
import|bring goods into a country from abroad for sale;the meaning or significance of something
importance|the state or fact of being of great significance or value;significance;consequence
important|of great significance or value;having a great deal of authority or influence
impose|force an unwelcome decision or ruling on someone;take advantage of someone
impossible|not able to occur, exist, or be done;very difficult to deal with
impress|make someone feel admiration and respect;make a mark or design on an object
impression|an idea, feeling, or opinion about something or someone;an imitation of a person
impressive|evoking admiration through size, quality, or skill;grand;imposing
improve|make or become better;develop or increase in value
improvement|the action of improving or a thing that makes something better;an enhancement
in|expressing the situation of something that is enclosed or surrounded;expressing a state or condition
inch|a unit of linear measure equal to one twelfth of a foot (2.54 cm);move slowly
incident|an event or occurrence;a violent event, such as a crime or an attack
include|comprise or contain as part of a whole;make part of a whole
including|containing as part of the whole being considered;such as
income|money received, especially on a regular basis, for work or through investments;revenue
incorporate|take in or contain something as part of a whole;include;constitute a company
increase|become or make greater in size, amount, or degree;a rise in the size or amount
increasingly|to an increasing extent;more and more
incredible|difficult to believe;extraordinary;amazing;unbelievable
indeed|used to emphasize a statement or answer;in truth;certainly
independent|free from the control of others;not depending on another for livelihood
index|an alphabetical list of names or subjects with references to the places where they occur;a sign or measure
indicate|point out;show;be a sign or symptom of;suggest
indication|a sign or piece of information that indicates something;symptom;hint
indirect|not directly caused by or resulting from something;roundabout
individual|single;separate;a single human being as distinct from a group
industrial|relating to or characterized by industry;of a developed and manufacturing economy
industry|economic activity concerned with the processing of raw materials and manufacture of goods in factories;a particular field of trade
inevitable|certain to happen;unavoidable;inescapable
infant|a very young child or baby;in an early stage of development
infect|affect with a disease-causing organism;contaminate
infection|the process of infecting or the state of being infected;an infectious disease
inflation|a general increase in prices and fall in the purchasing value of money
influence|the capacity to have an effect on the character, development, or behavior of someone or something;affect
inform|give facts or information to;tell;notify
informal|having a relaxed, friendly, or unofficial style;casual;unofficial
information|facts provided or learned about something or someone;data;news
ingredient|any of the foods or substances that are combined to make a particular dish;a component part
initial|existing or occurring at the beginning;the first letter of a name or word
initially|at first;originally;in the beginning
initiative|the ability to assess and initiate things independently;a new plan or process to achieve something
injure|do physical harm or damage to;wound;harm
injury|an instance of being injured;damage to a person's body;harm;wound
inner|situated inside or further in;internal;private
innocent|not guilty of a crime or offense;without experience of evil;harmless
innovation|the action of innovating;a new method, idea, or product
input|what is put in, taken in, or operated on by any process or system;contribution of information
inquiry|an act of asking for information;an official investigation
insect|a small arthropod animal that has six legs and generally one or two pairs of wings;bug
insert|place, fit, or push something into something else;put in
inside|the inner side or surface of something;situated on the inside
insight|the capacity to gain an accurate and deep understanding of someone or something;perception
insist|demand something forcefully, not accepting refusal;maintain something is the case
inspect|look at closely, typically to assess condition;examine officially
install|place or fix equipment in position for use;formally place someone in a new position
instance|an example or single occurrence of something;for example
instead|as an alternative to;in place of
institute|an organization having a particular purpose;begin or establish;a society
institution|a large, important organization such as a university or bank;an established law or practice
instruction|a direction or order;detailed information about how something should be done;teaching
instructor|a person who teaches something;a teacher or coach
